timestamp,machine_id,temp_nozzle,pressure_injection,cooling_time
2026-03-01 08:00:00,PRESS_01,229.2,86.62,15.0
2026-03-01 08:00:01,PRESS_01,230.79,87.13,15.0
2026-03-01 08:00:02,PRESS_01,228.58,90.99,15.0
2026-03-01 08:00:03,PRESS_01,229.8,88.63,15.0
2026-03-01 08:00:04,PRESS_01,230.08,89.18,15.0
2026-03-01 08:00:05,PRESS_01,232.27,88.65,15.0
2026-03-01 08:00:06,PRESS_01,228.9,89.09,15.0
2026-03-01 08:00:07,PRESS_01,229.5,91.19,15.0
2026-03-01 08:00:08,PRESS_01,227.61,90.85,15.0
2026-03-01 08:00:09,PRESS_01,229.35,91.55,15.0
2026-03-01 08:00:10,PRESS_01,229.94,91.04,15.0
2026-03-01 08:00:11,PRESS_01,229.53,90.88,15.0
2026-03-01 08:00:12,PRESS_01,232.0,88.52,15.0
2026-03-01 08:00:13,PRESS_01,229.87,89.03,15.0
2026-03-01 08:00:14,PRESS_01,231.91,89.13,15.0
2026-03-01 08:00:15,PRESS_01,229.12,88.84,15.0
2026-03-01 08:00:16,PRESS_01,229.84,88.41,15.0
2026-03-01 08:00:17,PRESS_01,229.56,90.31,15.0
2026-03-01 08:00:18,PRESS_01,229.86,91.66,15.0
2026-03-01 08:00:19,PRESS_01,229.62,89.59,15.0
2026-03-01 08:00:20,PRESS_01,230.33,94.49,15.0
2026-03-01 08:00:21,PRESS_01,229.05,93.85,15.0
2026-03-01 08:00:22,PRESS_01,228.58,90.46,15.0
2026-03-01 08:00:23,PRESS_01,229.59,88.37,15.0
2026-03-01 08:00:24,PRESS_01,230.84,91.2,15.0
2026-03-01 08:00:25,PRESS_01,229.42,85.81,15.0
2026-03-01 08:00:26,PRESS_01,229.5,90.28,15.0
2026-03-01 08:00:27,PRESS_01,230.0,91.51,15.0
2026-03-01 08:00:28,PRESS_01,232.32,90.83,15.0
2026-03-01 08:00:29,PRESS_01,230.68,90.3,15.0
2026-03-01 08:00:30,PRESS_01,231.41,91.06,15.0
2026-03-01 08:00:31,PRESS_01,230.9,93.62,15.0
2026-03-01 08:00:32,PRESS_01,230.27,89.46,15.0
2026-03-01 08:00:33,PRESS_01,230.54,92.27,15.0
2026-03-01 08:00:34,PRESS_01,230.6,92.12,15.0
2026-03-01 08:00:35,PRESS_01,229.2,88.26,15.0
2026-03-01 08:00:36,PRESS_01,229.35,87.47,15.0
2026-03-01 08:00:37,PRESS_01,230.13,89.14,15.0
2026-03-01 08:00:38,PRESS_01,231.48,87.42,15.0
2026-03-01 08:00:39,PRESS_01,231.87,88.04,15.0
2026-03-01 08:00:40,PRESS_01,228.51,88.35,15.0
2026-03-01 08:00:41,PRESS_01,232.34,89.92,15.0
2026-03-01 08:00:42,PRESS_01,230.64,89.63,15.0
2026-03-01 08:00:43,PRESS_01,229.89,88.99,15.0
2026-03-01 08:00:44,PRESS_01,230.06,90.99,15.0
2026-03-01 08:00:45,PRESS_01,232.01,86.25,15.0
2026-03-01 08:00:46,PRESS_01,231.93,91.06,15.0
2026-03-01 08:00:47,PRESS_01,229.56,88.9,15.0
2026-03-01 08:00:48,PRESS_01,231.25,90.46,15.0
2026-03-01 08:00:49,PRESS_01,228.16,90.73,15.0
2026-03-01 08:00:50,PRESS_01,231.37,91.72,15.0
2026-03-01 08:00:51,PRESS_01,229.25,87.32,15.0
2026-03-01 08:00:52,PRESS_01,229.61,96.51,15.0
2026-03-01 08:00:53,PRESS_01,228.15,88.31,15.0
2026-03-01 08:00:54,PRESS_01,230.47,89.75,15.0
2026-03-01 08:00:55,PRESS_01,229.76,94.05,15.0
